[2021/2/22 - 7:45:41] miles_nguyen (ID: 1 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has disconnected.
[2021/2/22 - 8:08:15] ntv_pool (ID: 0 | SQL ID: 494 | Level: 1 | IP: 171.233.202.81) has logged in.
[2021/2/22 - 8:11:05] adu_vjp (ID: 1 | SQL ID: 500 | Level: 1 | IP: 125.235.227.59) has logged in.
[2021/2/22 - 8:11:06] miles_nguyen (ID: 2 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 8:12:05] miles_nguyen (ID: 2 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has timed out.
[2021/2/22 - 8:12:17] adu_vjp (ID: 1 | SQL ID: 500 | Level: 1 | IP: 125.235.227.59) has timed out.
[2021/2/22 - 8:14:05] Liem_Bean (ID: 2 | SQL ID: 499 | Level: 1 | IP: 171.251.235.225) has logged in.
[2021/2/22 - 8:16:34] ntv_pool (ID: 0 | SQL ID: 494 | Level: 1 | IP: 171.233.202.81) has disconnected.
[2021/2/22 - 8:19:28] John_Antonio (ID: 0 | SQL ID: 501 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 8:20:07] John_Antonio (ID: 0 | SQL ID: 501 | Level: 1 | IP: 27.68.163.180) has timed out.
[2021/2/22 - 8:20:17] Liem_Bean (ID: 2 | SQL ID: 499 | Level: 1 | IP: 171.251.235.225) has timed out.
[2021/2/22 - 8:20:25] Liem_Bean (ID: 0 | SQL ID: 499 | Level: 1 | IP: 171.251.235.225) has logged in.
[2021/2/22 - 8:22:36] miles_nguyen (ID: 1 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 8:23:10] ntv_ntv (ID: 2 | SQL ID: 497 | Level: 1 | IP: 171.233.202.81) has logged in.
[2021/2/22 - 8:28:42] ntv_pool (ID: 3 | SQL ID: 494 | Level: 1 | IP: 171.233.202.81) has logged in.
[2021/2/22 - 8:31:18] Liem_Bean (ID: 0 | SQL ID: 499 | Level: 1 | IP: 171.251.235.225) has disconnected.
[2021/2/22 - 8:31:40] Liem_Bean (ID: 0 | SQL ID: 499 | Level: 1 | IP: 171.251.235.225) has logged in.
[2021/2/22 - 8:32:12] miles_nguyen (ID: 1 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has disconnected.
[2021/2/22 - 8:32:20] ntv_ntv (ID: 2 | SQL ID: 497 | Level: 1 | IP: 171.233.202.81) has timed out.
[2021/2/22 - 8:32:32] Liem_Bean (ID: 0 | SQL ID: 499 | Level: 1 | IP: 171.251.235.225) has timed out.
[2021/2/22 - 8:37:14] Miles_Nguyen (ID: 0 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 8:49:47] Miles_Nguyen (ID: 0 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has timed out.
[2021/2/22 - 9:14:15] Peww_Peww (ID: 0 | SQL ID: 502 | Level: 1 | IP: 171.246.177.38) has logged in.
[2021/2/22 - 9:19:29] Miles_Nguyen (ID: 1 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 9:22:19] abc_xyz (ID: 2 | SQL ID: 503 | Level: 1 | IP: 125.235.227.214) has logged in.
[2021/2/22 - 9:32:49] Miles_Nguyen (ID: 1 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has timed out.
[2021/2/22 - 9:32:51] abc_xyz (ID: 2 | SQL ID: 503 | Level: 1 | IP: 125.235.227.214) has timed out.
[2021/2/22 - 9:33:23] Miles_Nguyen (ID: 1 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 9:42:54] Miles_Nguyen (ID: 1 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has timed out.
[2021/2/22 - 9:47:06] ntv_pool (ID: 3 | SQL ID: 494 | Level: 1 | IP: 171.233.202.81) has disconnected.
[2021/2/22 - 9:54:07] Peww_Peww (ID: 0 | SQL ID: 502 | Level: 1 | IP: 171.246.177.38) has timed out.
[2021/2/22 - 10:16:43] Peww_Peww (ID: 0 | SQL ID: 502 | Level: 1 | IP: 171.246.177.38) has logged in.
[2021/2/22 - 10:21:54] Peww_Peww (ID: 0 | SQL ID: 502 | Level: 1 | IP: 171.246.177.38) has logged in.
[2021/2/22 - 10:22:08] ntv_ntv (ID: 1 | SQL ID: 497 | Level: 1 | IP: 171.233.202.81) has logged in.
[2021/2/22 - 10:24:03] ntv_ntv (ID: 1 | SQL ID: 497 | Level: 1 | IP: 171.233.202.81) has timed out.
[2021/2/22 - 10:26:36] ntv_ntv (ID: 1 | SQL ID: 497 | Level: 1 | IP: 171.233.202.81) has logged in.
[2021/2/22 - 10:27:36] ntv_ntv (ID: 1 | SQL ID: 497 | Level: 1 | IP: 171.233.202.81) has timed out.
[2021/2/22 - 10:28:09] Peww_Peww (ID: 0 | SQL ID: 502 | Level: 1 | IP: 171.246.177.38) has timed out.
[2021/2/22 - 10:28:30] Peww_Peww (ID: 0 | SQL ID: 502 | Level: 1 | IP: 171.246.177.38) has logged in.
[2021/2/22 - 10:30:58] Matthus_Z (ID: 1 | SQL ID: 504 | Level: 1 | IP: 42.112.156.219) has logged in.
[2021/2/22 - 10:40:04] Peww_Peww (ID: 0 | SQL ID: 502 | Level: 1 | IP: 171.246.177.38) has timed out.
[2021/2/22 - 10:43:23] Liem_Bean (ID: 0 | SQL ID: 499 | Level: 1 | IP: 115.73.225.210) has logged in.
[2021/2/22 - 10:44:45] Liem_Bean (ID: 0 | SQL ID: 499 | Level: 1 | IP: 115.73.225.210) has timed out.
[2021/2/22 - 11:07:59] Matthus_Z (ID: 1 | SQL ID: 504 | Level: 1 | IP: 42.112.156.219) has timed out.
[2021/2/22 - 18:15:16] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has logged in.
[2021/2/22 - 18:19:08] Van_Dat (ID: 1 | SQL ID: 506 | Level: 1 | IP: 14.237.154.19) has logged in.
[2021/2/22 - 18:24:52] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has timed out.
[2021/2/22 - 18:25:09] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has logged in.
[2021/2/22 - 18:29:32] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has timed out.
[2021/2/22 - 18:29:58] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has logged in.
